Quarter,Industry,Sex,Employment status,Value,Flags
Sep-15,Accommodation and food services,Male,Working proprietors,7900,
Sep-15,Accommodation and food services,Female,Working proprietors,8100,
Jun-15,Accommodation and food services,Male,Working proprietors,7700,
Jun-15,Accommodation and food services,Female,Working proprietors,6500,
Mar-15,Accommodation and food services,Male,Working proprietors,8600,
Mar-15,Accommodation and food services,Female,Working proprietors,7400,
Dec-14,Accommodation and food services,Male,Working proprietors,7400,
Dec-14,Accommodation and food services,Female,Working proprietors,6300,
Sep-14,Accommodation and food services,Male,Working proprietors,7900,
Sep-14,Accommodation and food services,Female,Working proprietors,6200,
Jun-14,Accommodation and food services,Male,Working proprietors,7400,
Jun-14,Accommodation and food services,Female,Working proprietors,6300,
Mar-14,Accommodation and food services,Male,Working proprietors,6600,
Mar-14,Accommodation and food services,Female,Working proprietors,5700,
Dec-13,Accommodation and food services,Male,Working proprietors,7200,
Dec-13,Accommodation and food services,Female,Working proprietors,5800,
Sep-13,Accommodation and food services,Male,Working proprietors,6800,
Sep-13,Accommodation and food services,Female,Working proprietors,5900,
Jun-13,Accommodation and food services,Male,Working proprietors,6900,
Jun-13,Accommodation and food services,Female,Working proprietors,5900,
Mar-13,Accommodation and food services,Male,Working proprietors,7400,
Mar-13,Accommodation and food services,Female,Working proprietors,5900,
Dec-12,Accommodation and food services,Male,Working proprietors,7400,
Dec-12,Accommodation and food services,Female,Working proprietors,8000,
Sep-12,Accommodation and food services,Male,Working proprietors,8200,
Sep-12,Accommodation and food services,Female,Working proprietors,6300,
Jun-12,Accommodation and food services,Male,Working proprietors,7500,
Jun-12,Accommodation and food services,Female,Working proprietors,7600,
Mar-12,Accommodation and food services,Male,Working proprietors,6800,
Mar-12,Accommodation and food services,Female,Working proprietors,6600,
Dec-11,Accommodation and food services,Male,Working proprietors,6500,
Dec-11,Accommodation and food services,Female,Working proprietors,6500,
Sep-11,Accommodation and food services,Male,Working proprietors,6500,
Sep-11,Accommodation and food services,Female,Working proprietors,7000,
Jun-11,Accommodation and food services,Male,Working proprietors,6700,
Jun-11,Accommodation and food services,Female,Working proprietors,6300,
Mar-11,Accommodation and food services,Male,Working proprietors,5800,
Mar-11,Accommodation and food services,Female,Working proprietors,5200,
Dec-10,Accommodation and food services,Male,Working proprietors,5800,
Dec-10,Accommodation and food services,Female,Working proprietors,5400,
Sep-10,Accommodation and food services,Male,Working proprietors,5800,
Sep-10,Accommodation and food services,Female,Working proprietors,5300,
Jun-10,Accommodation and food services,Male,Working proprietors,6900,
Jun-10,Accommodation and food services,Female,Working proprietors,6300,
Mar-10,Accommodation and food services,Male,Working proprietors,7000,
Mar-10,Accommodation and food services,Female,Working proprietors,6900,
Dec-09,Accommodation and food services,Male,Working proprietors,6600,
Dec-09,Accommodation and food services,Female,Working proprietors,6900,
Sep-09,Accommodation and food services,Male,Working proprietors,6900,
Sep-09,Accommodation and food services,Female,Working proprietors,6500,
Jun-09,Accommodation and food services,Male,Working proprietors,7700,
Jun-09,Accommodation and food services,Female,Working proprietors,6600,
Mar-09,Accommodation and food services,Male,Working proprietors,6400,
Mar-09,Accommodation and food services,Female,Working proprietors,6300,
Dec-08,Accommodation and food services,Male,Working proprietors,6800,
Dec-08,Accommodation and food services,Female,Working proprietors,6900,
Sep-08,Accommodation and food services,Male,Working proprietors,7200,
Sep-08,Accommodation and food services,Female,Working proprietors,8600,
Jun-08,Accommodation and food services,Male,Working proprietors,6900,
Jun-08,Accommodation and food services,Female,Working proprietors,6200,
Mar-08,Accommodation and food services,Male,Working proprietors,6400,
Mar-08,Accommodation and food services,Female,Working proprietors,6900,
Dec-07,Accommodation and food services,Male,Working proprietors,7800,
Dec-07,Accommodation and food services,Female,Working proprietors,6800,
Sep-07,Accommodation and food services,Male,Working proprietors,7000,
Sep-07,Accommodation and food services,Female,Working proprietors,5900,
Jun-07,Accommodation and food services,Male,Working proprietors,7000,
Jun-07,Accommodation and food services,Female,Working proprietors,5800,
