Quarter,Industry,Sex,Employment status,Value,Flags
"Sep-15","Forestry and mining","Total","Working proprietors",700,
"Jun-15","Forestry and mining","Total","Working proprietors",900,
"Mar-15","Forestry and mining","Total","Working proprietors",900,
"Dec-14","Forestry and mining","Total","Working proprietors",600,
"Sep-14","Forestry and mining","Total","Working proprietors",800,
"Jun-14","Forestry and mining","Total","Working proprietors",900,
"Mar-14","Forestry and mining","Total","Working proprietors",800,
"Dec-13","Forestry and mining","Total","Working proprietors",800,
"Sep-13","Forestry and mining","Total","Working proprietors",800,
"Jun-13","Forestry and mining","Total","Working proprietors",800,
"Mar-13","Forestry and mining","Total","Working proprietors",1100,
"Dec-12","Forestry and mining","Total","Working proprietors",900,
"Sep-12","Forestry and mining","Total","Working proprietors",900,
"Jun-12","Forestry and mining","Total","Working proprietors",1000,
"Mar-12","Forestry and mining","Total","Working proprietors",1100,
"Dec-11","Forestry and mining","Total","Working proprietors",1000,
"Sep-11","Forestry and mining","Total","Working proprietors",1100,
"Jun-11","Forestry and mining","Total","Working proprietors",1100,
"Mar-11","Forestry and mining","Total","Working proprietors",1000,
"Dec-10","Forestry and mining","Total","Working proprietors",900,
"Sep-10","Forestry and mining","Total","Working proprietors",800,
"Jun-10","Forestry and mining","Total","Working proprietors",900,
"Mar-10","Forestry and mining","Total","Working proprietors",800,
"Dec-09","Forestry and mining","Total","Working proprietors",900,
"Sep-09","Forestry and mining","Total","Working proprietors",800,
"Jun-09","Forestry and mining","Total","Working proprietors",600,
"Mar-09","Forestry and mining","Total","Working proprietors",600,
"Dec-08","Forestry and mining","Total","Working proprietors",700,
"Sep-08","Forestry and mining","Total","Working proprietors",600,
"Jun-08","Forestry and mining","Total","Working proprietors",800,
"Mar-08","Forestry and mining","Total","Working proprietors",900,
"Dec-07","Forestry and mining","Total","Working proprietors",800,
"Sep-07","Forestry and mining","Total","Working proprietors",900,
"Jun-07","Forestry and mining","Total","Working proprietors",800,
"Mar-07","Forestry and mining","Total","Working proprietors",800,
"Dec-06","Forestry and mining","Total","Working proprietors",900,
"Sep-06","Forestry and mining","Total","Working proprietors",800,
"Jun-06","Forestry and mining","Total","Working proprietors",800,
"Mar-06","Forestry and mining","Total","Working proprietors",1000,
"Dec-05","Forestry and mining","Total","Working proprietors",900,
"Sep-05","Forestry and mining","Total","Working proprietors",1000,
"Jun-05","Forestry and mining","Total","Working proprietors",900,
"Mar-05","Forestry and mining","Total","Working proprietors",1300,
"Dec-04","Forestry and mining","Total","Working proprietors",1500,
"Sep-04","Forestry and mining","Total","Working proprietors",1200,
"Jun-04","Forestry and mining","Total","Working proprietors",1300,
"Mar-04","Forestry and mining","Total","Working proprietors",1200,
"Dec-03","Forestry and mining","Total","Working proprietors",1200,
"Sep-03","Forestry and mining","Total","Working proprietors",1400,
"Jun-03","Forestry and mining","Total","Working proprietors",1300,
"Mar-03","Forestry and mining","Total","Working proprietors",1400,
"Dec-02","Forestry and mining","Total","Working proprietors",1400,
"Sep-02","Forestry and mining","Total","Working proprietors",1300,
"Jun-02","Forestry and mining","Total","Working proprietors",1100,
"Mar-02","Forestry and mining","Total","Working proprietors",1000,
"Dec-01","Forestry and mining","Total","Working proprietors",1000,
"Sep-01","Forestry and mining","Total","Working proprietors",800,
"Jun-01","Forestry and mining","Total","Working proprietors",1100,
"Mar-01","Forestry and mining","Total","Working proprietors",900,
"Dec-00","Forestry and mining","Total","Working proprietors",900,
"Sep-00","Forestry and mining","Total","Working proprietors",900,
"Jun-00","Forestry and mining","Total","Working proprietors",1000,
"Mar-00","Forestry and mining","Total","Working proprietors",900,
"Sep-15","Manufacturing","Total","Working proprietors",11600,
"Jun-15","Manufacturing","Total","Working proprietors",11600,
"Mar-15","Manufacturing","Total","Working proprietors",11800,
"Dec-14","Manufacturing","Total","Working proprietors",11300,
"Sep-14","Manufacturing","Total","Working proprietors",12000,
"Jun-14","Manufacturing","Total","Working proprietors",11500,
"Mar-14","Manufacturing","Total","Working proprietors",12800,
"Dec-13","Manufacturing","Total","Working proprietors",11800,
"Sep-13","Manufacturing","Total","Working proprietors",12200,
"Jun-13","Manufacturing","Total","Working proprietors",12200,
"Mar-13","Manufacturing","Total","Working proprietors",11600,
"Dec-12","Manufacturing","Total","Working proprietors",11700,
"Sep-12","Manufacturing","Total","Working proprietors",11600,
"Jun-12","Manufacturing","Total","Working proprietors",12100,
"Mar-12","Manufacturing","Total","Working proprietors",13100,
"Dec-11","Manufacturing","Total","Working proprietors",12700,
"Sep-11","Manufacturing","Total","Working proprietors",13800,
"Jun-11","Manufacturing","Total","Working proprietors",11500,
"Mar-11","Manufacturing","Total","Working proprietors",11100,
"Dec-10","Manufacturing","Total","Working proprietors",11800,
"Sep-10","Manufacturing","Total","Working proprietors",11900,
"Jun-10","Manufacturing","Total","Working proprietors",13100,
"Mar-10","Manufacturing","Total","Working proprietors",12400,
"Dec-09","Manufacturing","Total","Working proprietors",13100,
"Sep-09","Manufacturing","Total","Working proprietors",14600,
"Jun-09","Manufacturing","Total","Working proprietors",16000,
"Mar-09","Manufacturing","Total","Working proprietors",15200,
"Dec-08","Manufacturing","Total","Working proprietors",15800,
"Sep-08","Manufacturing","Total","Working proprietors",15900,
"Jun-08","Manufacturing","Total","Working proprietors",15900,
"Mar-08","Manufacturing","Total","Working proprietors",14700,
"Dec-07","Manufacturing","Total","Working proprietors",15000,
"Sep-07","Manufacturing","Total","Working proprietors",14400,
"Jun-07","Manufacturing","Total","Working proprietors",14800,
"Mar-07","Manufacturing","Total","Working proprietors",15000,
"Dec-06","Manufacturing","Total","Working proprietors",14700,
"Sep-06","Manufacturing","Total","Working proprietors",14500,
"Jun-06","Manufacturing","Total","Working proprietors",14700,
"Mar-06","Manufacturing","Total","Working proprietors",15300,
"Dec-05","Manufacturing","Total","Working proprietors",17000,
"Sep-05","Manufacturing","Total","Working proprietors",16100,
"Jun-05","Manufacturing","Total","Working proprietors",16100,
"Mar-05","Manufacturing","Total","Working proprietors",15600,
"Dec-04","Manufacturing","Total","Working proprietors",15300,
"Sep-04","Manufacturing","Total","Working proprietors",15100,
"Jun-04","Manufacturing","Total","Working proprietors",14800,
"Mar-04","Manufacturing","Total","Working proprietors",14700,
"Dec-03","Manufacturing","Total","Working proprietors",13700,
"Sep-03","Manufacturing","Total","Working proprietors",14500,
"Jun-03","Manufacturing","Total","Working proprietors",15100,
"Mar-03","Manufacturing","Total","Working proprietors",15000,
"Dec-02","Manufacturing","Total","Working proprietors",14700,
"Sep-02","Manufacturing","Total","Working proprietors",14700,
"Jun-02","Manufacturing","Total","Working proprietors",15000,
"Mar-02","Manufacturing","Total","Working proprietors",15600,
"Dec-01","Manufacturing","Total","Working proprietors",15100,
"Sep-01","Manufacturing","Total","Working proprietors",14900,
"Jun-01","Manufacturing","Total","Working proprietors",14100,
"Mar-01","Manufacturing","Total","Working proprietors",13900,
"Dec-00","Manufacturing","Total","Working proprietors",14300,
"Sep-00","Manufacturing","Total","Working proprietors",14300,
"Jun-00","Manufacturing","Total","Working proprietors",14400,
"Mar-00","Manufacturing","Total","Working proprietors",14300,
"Sep-15","Electricity, gas, water and waste services","Total","Working proprietors",300,
"Jun-15","Electricity, gas, water and waste services","Total","Working proprietors",300,
"Mar-15","Electricity, gas, water and waste services","Total","Working proprietors",300,
"Dec-14","Electricity, gas, water and waste services","Total","Working proprietors",200,
"Sep-14","Electricity, gas, water and waste services","Total","Working proprietors",200,
"Jun-14","Electricity, gas, water and waste services","Total","Working proprietors",200,
"Mar-14","Electricity, gas, water and waste services","Total","Working proprietors",300,
"Dec-13","Electricity, gas, water and waste services","Total","Working proprietors",200,
"Sep-13","Electricity, gas, water and waste services","Total","Working proprietors",200,
"Jun-13","Electricity, gas, water and waste services","Total","Working proprietors",200,
"Mar-13","Electricity, gas, water and waste services","Total","Working proprietors",300,
"Dec-12","Electricity, gas, water and waste services","Total","Working proprietors",300,
"Sep-12","Electricity, gas, water and waste services","Total","Working proprietors",300,
"Jun-12","Electricity, gas, water and waste services","Total","Working proprietors",300,
"Mar-12","Electricity, gas, water and waste services","Total","Working proprietors",300,
"Dec-11","Electricity, gas, water and waste services","Total","Working proprietors",300,
